citation_num,citation_code,authors,title,publisher,publication_year,journal,issue,volume,pages,book_title,book_editor,doi
1,"CHRISTIE, 1981","CHRISTIE, D M; SINTON, J M",EVOLUTION OF ABYSSAL LAVAS ALONG PROPAGATING SEGMENTS OF THE GALAPAGOS SPREADING CENTER,,1981,EARTH PLANET SCI LETT,,56,321-335,,,10.1016/0012-821X(81)90137-0
3,"VERMA, 1982","VERMA, S P; SCHILLING, J-G",GALAPAGOS HOT SPOT SPREADING CENTER SYSTEM  2. 87SR/86SR AND LARGE ION LITHOPHILE ELEMENT VARIATIONS  (85 DEGREE W-101 DEGREE W),NULL,1982,J GEOPHYS RES,NULL,87,10838-10856,NULL,NULL,10.1029/JB087iB13p10838
4,"FISK, 1982","FISK, M R; BENCE, A E; SCHILLING, J-G",MAJOR ELEMENT CHEMISTRY OF GALAPAGOS RIFT ZONE MAGMAS AND THEIR PHENOCRYSTS,,1982,EARTH PLANET SCI LETT,,61,171-189,,,10.1016/0012-821X(82)90050-4
5,"BYERS, 1984","BYERS, C D; CHRISTIE, D M; MUENOW, D W; SINTON, J M","VOLATILE CONTENTS AND FERRIC-FERROUS RATIOS OF BASALT, FERROBASALT, ANDESITE AND RHYODACITE GLASSES FROM THE GALAPAGOS 95.5 DEGREE W PROPAGATING RIFT",,1984,GEOCHIM COSMOCHIM ACTA,,48,2239-2245,,,10.1016/0016-7037(84)90220-5
6,"CLAGUE, 1981","CLAGUE, D A; FREY, F A; THOMPSON, G; RINDGE, S",MINOR AND TRACE ELEMENT GEOCHEMISTRY OF VOLCANIC ROCKS DREDGED FROM THE GALAPAGOS SPREADING CENTER: ROLE OF CRYSTAL FRACTIONATION AND MANTLE HETEROGENEITY,,1981,J GEOPHYS RES,,86,9469-9482,,,10.1029/JB086iB10p09469
7,"BYERLY, 1980","BYERLY, G R",THE NATURE OF DIFFERENTIATION TRENDS IN SOME VOLCANIC ROCKS FROM THE GALAPAGOS SPREADING CENTER,,1980,J GEOPHYS RES,,85,3797-3810,,,10.1029/JB085iB07p03797
10,"VERMA, 1981","VERMA, S P","K, RB, CS, BA AND SR CONTENTS AND SR ISOTOPE RATIOS OF IGNEOUS ROCKS FROM DEEP SEA DRILLING PROJECT LEG 63",,1981,INIT REP DSDP,,63,733-738,,,10.2973/dsdp.proc.63.128.1981
11,"SCHILLING, 1982","SCHILLING, J-G; KINGSLEY, R H; DEVINE, J D",GALAPAGOS HOT SPOT SPREADING CENTER SYSTEM 1. SPATIAL PETROLOGICAL AND GEOCHEMICAL VARIATIONS (83 DEGREE W-101 DEGREE W),,1982,J GEOPHYS RES,,87,5593-5610,,,10.1029/JB087iB07p05593
13,"ANDERSON, 1975","ANDERSON, R N; CLAGUE, D A; KLITGORD, K D; MARSHALL, M; NISHIMORI, R K",MAGNETIC AND PETROLOGIC VARIATIONS ALONG THE GALAPAGOS SPREADING CENTER AND THEIR RELATION TO THE GALAPAGOS MELTING ANOMALY,NULL,1975,GEOL SOC AMER BULL,NULL,86,683-694,NULL,NULL,10.1130/0016-7606(1975)86<683:MAPVAT>2.0.CO;2
14,"LANGMUIR, 1999","LANGMUIR, C H","SUBMITTED DATA SET: MAJOR AND TRACE ELEMENT COMPOSITION OF BASALT GLASSES FROM THE CHEPR CRUISE, EAST PACIFIC RISE",,1999,EARTHCHEM LIBRARY,,,NULL,,,10.1594/IEDA/100441
15,"CHRISTIE, 1986","CHRISTIE, D M; SINTON, J M","MAJOR ELEMENT CONSTRAINTS ON MELTING, DIFFERENTIATION AND MIXING OF MAGMAS FROM THE GALAPAGOS 95.5 DEGREE W PROPAGATING RIFT SYSTEM",,1986,CONTRIB MINERAL PETROL,,94,274-288,,,10.1007/BF00371437
16,"BYERLY, 1976","BYERLY, G R; MELSON, W G; VOGT, P R","RHYODACITES, ANDESITES, FERRO-BASALTS AND OCEAN THOLEIITES FROM THE GALAPAGOS SPREADING CENTER",NULL,1976,EARTH PLANET SCI LETT,NULL,30,215-221,NULL,NULL,10.1016/0012-821X(76)90248-X
17,"BYERS, 1983","BYERS, C D; MUENOW, D W; GARCIA, M O","VOLATILES IN BASALTS AND ANDESITES FROM THE GALAPAGOS SPREADING CENTER, 85 DEGREE  TO 86 DEGREE W",,1983,GEOCHIM COSMOCHIM ACTA,,47,1551-1558,,,10.1016/0016-7037(83)90181-3
18,"BRYAN, 1978","BRYAN, W B; SARGENT, D","BASALT FROM 22 DEGREE -23 DEGREE N, MID-ATLANTIC RIDGE MEDIAN VALLEY",,1978,INIT REP DSDP,,45,653-655,,,10.2973/dsdp.proc.45.140.1979
19,"BRYAN, 1979","BRYAN, W B; THOMPSON, G; MICHAEL, P J",COMPOSITIONAL VARIATION IN A STEADY-STATE ZONED MAGMA CHAMBER: MID-ATLANTIC RIDGE AT 36 DEGREE 50ÕN,,1979,TECTONOPHYSICS,,55,63-85,,,10.1016/0040-1951(79)90335-4
20,"BOUGAULT, 1980","BOUGAULT, H; TREUIL, M",MID-ATLANTIC RIDGE: ZERO-AGE GEOCHEMICAL VARIATIONS BETWEEN AZORES AND 22 DEGREE N,,1980,NATURE,,286,209-212,,,10.1038/286209a0
21,"JORON, 1980","JORON, J-L; BOLLINGER, C; QUISEFIT, J P; BOUGAULT, H; TREUIL, M","TRACE ELEMENTS IN CRETACEOUS BASALTS AT 25 DEGREE N IN THE ATLANTIC OCEAN: ALTERATION, MANTLE COMPOSITIONS, AND MAGMATIC PROCESSES",,1980,INIT REP DSDP,,51-53,1087-1098,,,10.2973/dsdp.proc.515253.132.1980
22,"DIXON, 1988","DIXON, J E; STOLPER, E; DELANEY, J R",INFRARED SPECTROSCOPIC MEASUREMENTS OF CO2 AND H2O IN JUAN DE FUCA RIDGE BASALTIC GLASSES,,1988,EARTH PLANET SCI LETT,,90,87-104,,,10.1016/0012-821X(88)90114-8
24,"HAMELIN, 1985","HAMELIN, B; DUPRE, B; ALLEGRE, C J",PB-SR-ND ISOTOPE DATA OF INDIAN OCEAN RIDGES: NEW EVIDENCE OF LARGE-SCALE MAPPING OF MANTLE HETEROGENEITIES,,1985,EARTH PLANET SCI LETT,,76,288-298,,,10.1016/0012-821X(86)90080-4
25,"LE ROEX, 1983","LE ROEX, A P; DICK, H J B; ERLANK, A J; REID, A M; FREY, F A; HART, S R","GEOCHEMISTRY, MINERALOGY AND PETROGENESIS OF LAVAS ERUPTED ALONG THE SOUTHWEST INDIAN RIDGE BETWEEN THE BOUVET TRIPLE JUNCTION AND 11 DEGREE E",,1983,J PETROL,,24,267-318,,,10.1093/petrology/24.3.267
26,"LE ROEX, 1989","LE ROEX, A P; DICK, H J B; FISHER, R L",PETROLOGY AND GEOCHEMISTRY OF MORB FROM 25 DEGREE E TO 46 DEGREE E ALONG THE  SOUTHWEST INDIAN RIDGE: EVIDENCE FOR CONTRASTING STYLES OF MANTLE ENRICHMENT,,1989,J PETROL,,30,947-986,,,10.1093/petrology/30.4.947
27,"LE ROEX, 1982","LE ROEX, A P; DICK, H J B; REID, A M; ERLANK, A J",FERROBASALT FROM THE SPIESS RIDGE SEGMENT OF THE SOUTHWEST INDIAN RIDGE,,1982,EARTH PLANET SCI LETT,,60,437-451,,,10.1016/0012-821X(82)90079-6
28,"MAHONEY, 1989","MAHONEY, J J; NATLAND, J H; WHITE, W M; POREDA, R J; BLOOMER, S H; FISHER, R L; BAXTER, A N",ISOTOPIC AND GEOCHEMICAL PROVINCES OF THE WESTERN INDIAN OCEAN SPREADING CENTERS,,1989,J GEOPHYS RES,,94,4033-4052,,,10.1029/JB094iB04p04033
29,"MAHONEY, 1992","MAHONEY, J J; LE ROEX, A P; PENG, Z; FISHER, R L; NATLAND, J H",SOUTHWESTERN LIMITS OF INDIAN OCEAN RIDGE MANTLE AND THE ORIGIN OF LOW 206PB/204PB MID-OCEAN RIDGE BASALT: ISOTOPE SYSTEMATICS OF THE CENTRAL SOUTHWEST INDIAN RIDGE (17 DEGREE -50 DEGREE E),,1992,J GEOPHYS RES,,97,19771-19790,,,10.1029/92JB01424
31,"PRICE, 1986","PRICE, R C; KENNEDY, A K; RIGGS-SNEERINGER, M; FREY, F A",GEOCHEMISTRY OF BASALTS FROM THE INDIAN OCEAN TRIPLE JUNCTION: IMPLICATIONS FOR THE GENERATION AND EVOLUTION OF INDIAN OCEAN RIDGE BASALTS,,1986,EARTH PLANET SCI LETT,,78,379-396,,,10.1016/0012-821X(86)90005-1
32,"KAMENETSKY, 1997","KAMENETSKY, V S; CRAWFORD, A J; EGGINS, S M; MÜHE, R K","PHENOCRYST AND MELT INCLUSION CHEMISTRY OF NEAR-AXIS SEAMOUNTS, VALU FA RIDGE, LAU BASIN: INSIGHT INTO MANTLE WEDGE MELTING AND THE ADDITION OF SUBDUCTION COMPONENTS",,1997,EARTH PLANET SCI LETT,,151,205-223,,,10.1016/S0012-821X(97)81849-3
33,"NIU, 1997","NIU, Y; BATIZA, R",TRACE ELEMENT EVIDENCE FROM SEAMOUNTS FOR RECYCLED OCEANIC CRUST IN THE EASTERN PACIFIC MANTLE,,1997,EARTH PLANET SCI LETT,,148,471-483,,,10.1016/S0012-821X(97)00048-4
34,"SCHIANO, 1997","SCHIANO, P; BIRCK, J L; ALLEGRE, C J",OSMIUM-STRONTIUM-NEODYMIUM-LEAD ISOTOPIC COVARIATIONS IN MID-OCEAN RIDGE BASALT GLASSES AND THE HETEROGENEITY OF THE UPPER MANTLE,,1997,EARTH PLANET SCI LETT,,150,363-379,,,10.1016/S0012-821X(97)00098-8
35,"BARTH, 1994","BARTH, G A; KASTENS, K A; KLEIN, E M",THE ORIGIN OF BATHYMETRIC HIGHS AT RIDGE-TRANSFORM INTERSECTIONS: MULTI-DISCIPLINARY CASE STUDY AT THE CLIPPERTON FRACTURE ZONE,,1994,MARINE GEOPHYS RES,,16,Jan-50,,,10.1007/BF01812444
36,"BATIZA, 1988","BATIZA, R; MELSON, W G; O'HEARN, T",SIMPLE MAGMA SUPPLY GEOMETRY INFERRED BENEATH A SEGMENT OF THE MID-ATLANTIC RIDGE,,1988,NATURE,,335,428-431,,,10.1038/335428a0
37,"BRYAN, 1981","BRYAN, W B; THOMPSON, G; LUDDEN, J N",COMPOSITIONAL VARIATION IN NORMAL MORB FROM 22 DEGREE -25 DEGREE N: MID-ATLANTIC RIDGE AND KANE FRACTURE ZONE,,1981,J GEOPHYS RES,,86,11815-11836,,,10.1029/JB086iB12p11815
38,"BRYAN, 1979","BRYAN, W B","REGIONAL VARIATION AND PETROGENESIS OF BASALT GLASSES FROM THE FAMOUS AREA, MID-ATLANTIC RIDGE",,1979,J PETROL,,20,293-325,,,10.1093/petrology/20.2.293
40,"BRYAN, 1977","BRYAN, W B; MOORE, J G",COMPOSITIONAL VARIATIONS OF YOUNG BASALTS IN THE MID-ATLANTIC RIDGE RIFT VALLEY NEAR LAT 36 DEGREE 49'N,,1977,GEOL SOC AMER BULL,,88,556-570,,,10.1130/0016-7606(1977)882.0.CO;2
41,"WHITE, 1978","WHITE, W M; SCHILLING, J-G",THE NATURE AND ORIGIN OF GEOCHEMICAL VARIATION IN MID-ATLANTIC RIDGE BASALTS FROM THE CENTRAL NORTH ATLANTIC,,1978,GEOCHIM COSMOCHIM ACTA,,42,1501-1516,,,10.1016/0016-7037(78)90021-2
42,"SCHILLING, 1983","SCHILLING, J-G; ZAJAC, M; EVANS, R; JOHNSTON, T; WHITE, W M; DEVINE, J D; KINGSLEY, R H",PETROLOGIC AND GEOCHEMICAL VARIATIONS ALONG THE MID-ATLANTIC RIDGE FROM 29 DEGREE N TO 73 DEGREE N,,1983,AMERIC J SCI,,283,510-586,,,10.2475/ajs.283.6.510
44,"GRAHAM, 1996","GRAHAM, D W; CASTILLO, P R; LUPTON, J E; BATIZA, R",CORRELATED HE AND SR ISOTOPE RATIOS IN SOUTH ATLANTIC NEAR-RIDGE SEAMOUNTS AND IMPLICATIONS FOR MANTLE DYNAMICS,,1996,EARTH PLANET SCI LETT,,144,491-503,,,10.1016/S0012-821X(96)00172-0
45,"SALTERS, 1996","SALTERS, V J M",THE GENERATION OF MID-OCEAN RIDGE BASALTS FROM THE HF AND ND ISOTOPE PERSPECTIVE,,1996,EARTH PLANET SCI LETT,,141,109-123,,,10.1016/0012-821X(96)00070-2
46,"LANGMUIR, 1977","LANGMUIR, C H; BENDER, J F; BENCE, A E; HANSON, G N; TAYLOR, S R",PETROGENESIS OF BASALTS FROM THE FAMOUS AREA; MID-ATLANTIC RIDGE,,1977,EARTH PLANET SCI LETT,,36,133-156,,,10.1016/0012-821X(77)90194-7
47,"WHITE, 1977","WHITE, W M; BRYAN, W B","SR-ISOTOPE, K, RB, CS, SR, BA AND RARE-EARTH GEOCHEMISTRY OF BASALTS FROM THE FAMOUS AREA",,1977,GEOL SOC AMER BULL,,88,571-576,,,10.1130/0016-7606(1977)88<571:SKRCSB>2.0.CO;2
48,"BOUGAULT, 1974","BOUGAULT, H; HEKINIAN, R",RIFT VALLEY IN THE ATLANTIC OCEAN NEAR 36 DEGREE 50ÕN: PETROLOGY AND GEOCHEMISTRY OF BASALTIC ROCKS,,1974,EARTH PLANET SCI LETT,,24,249-261,,,10.1016/0012-821X(74)90103-4
49,"BOUGAULT, 1988","BOUGAULT, H; DMITRIEV, L V; SCHILLING, J-G; SOBOLEV, A V; JORON, J-L; NEEDHAM, H D",MANTLE HETEROGENEITY FROM TRACE ELEMENTS: MAR TRIPLE JUNCTION NEAR 14 DEGREE N,,1988,EARTH PLANET SCI LETT,,88,27-36,,,10.1016/0012-821X(88)90043-X
50,"DOSSO, 1991","DOSSO, L; HANAN, B B; BOUGAULT, H; SCHILLING, J-G; JORON, J-L",SR-ND-PB GEOCHEMICAL MORPHOLOGY BETWEEN 10 DEGREE  AND 17 DEGREE N ON THE MID-ATLANTIC RIDGE: A NEW MORB ISOTOPE SIGNATURE,,1991,EARTH PLANET SCI LETT,,106,29-43,,,10.1016/0012-821X(91)90061-L
51,"DOSSO, 1993","DOSSO, L; BOUGAULT, H; JORON, J-L","GEOCHEMICAL MORPHOLOGY OF THE NORTH MID-ATLANTIC RIDGE, 10 DEGREE -24 DEGREE N: TRACE ELEMENT - ISOTOPE COMPLEMENTARITY",,1993,EARTH PLANET SCI LETT,,120,443-462,,,10.1016/0012-821X(93)90256-9
53,"FREY, 1974","FREY, F A; BRYAN, W B; THOMPSON, G",ATLANTIC OCEAN FLOOR: GEOCHEMISTRY AND PETROLOGY OF BASALTS FROM LEGS 2 AND 3 OF THE DEEP-SEA DRILLING PROJECT,,1974,J GEOPHYS RES,,79,5507-5527,,,10.1029/JB079i035p05507
54,"WHITE, 1977","WHITE, W M",GEOCHEMISTRY OF IGNEOUS ROCKS FROM THE CENTRAL NORTH ATLANTIC: THE AZORES AND THE MID-ATLANTIC RIDGE,,1977,"THESIS OR DISSERTATION, DOCTORAL, URI; MONOGRAPHIC",,,NULL,,,NULL
55,"DAVIS, 1993","DAVIS, A S; CLAGUE, D A; FRIESEN, W B",PETROLOGY AND MINERAL CHEMISTRY OF BASALT FROM ESCANABA TROUGH,NULL,1993,US GEOL SURV BULL,NULL,2022,153-170,"GEOLOGIC, HYDROTHERMAL, AND BIOLOGIC STUDIES AT ESCANABA TROUGH, GORDA RIDGE, OFFSHORE NORTHERN CALIFORNIA","MORTON-J-L, ZIERENBERG-R-A, REISS-C-A",
57,"STAUDIGEL, 1981","STAUDIGEL, H; BRYAN, W B","CONTRASTED GLASS-WHOLE ROCK COMPOSITIONS AND PHENOCRYST RE-DISTRIBUTION, IPOD SITES 417 AND 418",,1981,CONTRIB MINERAL PETROL,,78,255-262,,,10.1007/BF00398920
58,"MÜHE, 1991","MÜHE, R K; BOHRMANN, H; HÖRMANN, P K; THIEDE, J; STOFFERS, P",SPINIFEX BASALTS WITH KOMATIITE-THOLEIITE TREND FROM THE NANSEN-GAKKEL-RIDGE (ARCTIC OCEAN),,1991,TECTONOPHYSICS,,190,95-108,,,10.1016/0040-1951(91)90356-W
60,"SCHILLING, 1975","SCHILLING, J-G","RARE-EARTH VARIATIONS ACROSS NORMAL SEGMENTS OF THE REYKJANES RIDGE, 60 DEGREE -53 DEGREE N, MID-ATLANTIC RIDGE, 29 DEGREE S, AND THE EAST PACIFIC RISE, 2 DEGREE -19 DEGREE S, AND EVIDENCE ON THE COMPOSITION OF THE UNDERLYING LOW-VELOCITY LAYER",,1975,J GEOPHYS RES,,80,1459-1473,,,10.1029/JB080i011p01459
61,"PERFIT, 1996","PERFIT, M R; FORNARI, D J; RIDLEY, W I; KIRK, P D; CASEY, J F; KASTENS, K A; REYNOLDS, J R; EDWARDS, M; DESONIE, D L; SHUSTER, R; PARADIS, S",RECENT VOLCANISM IN THE SIQUEIROS TRANSFORM FAULT: PICRITIC BASALTS AND IMPLICATIONS For MORB MAGMA GENESIS,,1996,EARTH PLANET SCI LETT,,141,91-108,,,10.1016/0012-821X(96)00052-0
64,"MARTY, 1997","MARTY, B; HUMBERT, F",NITROGEN AND ARGON ISOTOPES IN OCEANIC BASALTS,,1997,EARTH PLANET SCI LETT,,152,101-112,,,10.1016/S0012-821X(97)00153-2
66,"ALLAN, 1994","ALLAN, J F; BATIZA, R; SACK, R O",GEOCHEMICAL CHARACTERISTICS OF COCOS PLATE SEAMOUNT LAVAS,,1994,CONTRIB MINERAL PETROL,,116,47-61,,,10.1007/BF00310689
67,"BATIZA, 1992","BATIZA, R; NIU, Y",PETROLOGY AND MAGMA CHAMBER PROCESSES AT THE EAST PACIFIC RISE ~9 DEGREE 30ÕN,,1992,J GEOPHYS RES,,97,6779-6797,,,10.1029/92JB00172
68,"BATIZA, 1977","BATIZA, R; ROSENDAHL, B R; FISHER, R L",EVOLUTION OF OCEANIC CRUST 3. PETROLOGY AND CHEMISTRY OF BASALTS FROM THE EAST PACIFIC RISE AND THE SIQUEIROS TRANSFORM FAULT,,1977,J GEOPHYS RES,,82,265-276,,,10.1029/JB082i002p00265
69,"BATIZA, 1982","BATIZA, R; OESTRIKE, R; FUTA, K","CHEMICAL AND ISOTOPIC DIVERSITY IN BASALTS DREDGED FROM THE EAST PACIFIC RISE AT 10 DEGREE S, THE FOSSIL GALAPAGOS RISE AND THE NAZCA PLATE",,1982,MARINE GEOLOGY,,49,115-132,,,10.1016/0025-3227(82)90032-9
70,"BENCE, 1977","BENCE, A E; TAYLOR, S R",PETROGENESIS OF MID-ATLANTIC RIDGE BASALTS AT DSDP LEG 37 HOLES 332A AND 332B FROM MAJOR AND TRACE ELEMENT GEOCHEMISTRY,,1977,INIT REP DSDP,,37,705-709,,,10.2973/dsdp.proc.37.154.1977
71,"BRYAN, 1977","BRYAN, W B; FREY, F A; THOMPSON, G",OLDEST ATLANTIC SEAFLOOR,,1977,CONTRIB MINERAL PETROL,,64,223-242,,,10.1007/BF00371513
78,"COHEN, 1982","COHEN, R S; O'NIONS, R K","THE LEAD, NEODYMIUM AND STRONTIUM ISOTOPIC STRUCTURE OF OCEAN RIDGE BASALTS",,1982,J PETROL,,23,299-324,,,10.1093/petrology/23.3.299
79,"COUSENS, 1995","COUSENS, B L; ALLAN, J F; LEYBOURNE, M I; CHASE, R L; VAN WAGONER, N A","MIXING OF MAGMAS FROM ENRICHED AND DEPLETED MANTLE SOURCES IN THE NORTHEAST PACIFIC: WEST VALLEY SEGMENT, JUAN DE FUCA RIDGE",,1995,CONTRIB MINERAL PETROL,,120,337-357,,,10.1007/BF00306512
80,"ARCYANA, 1977","ARCYANA, ",ROCKS COLLECTED BY BATHYSCAPH AND DIVING SAUCER IN THE FAMOUS AREA OF THE MID-ATLANTIC RIFT VALLEY: PETROLOGICAL DIVERSITY AND STRUCTURAL SETTING,,1977,DEEP SEA RESEARCH,,24,565-589,,,10.1016/0146-6291(77)90528-8
81,"NEUMANN, 1984","NEUMANN, E R; SCHILLING, J-G",PETROLOGY OF BASALTS FROM THE MOHNS-KNIPOVICH RIDGE; THE NORWEGIAN-GREENLAND SEA,,1984,CONTRIB MINERAL PETROL,,85,209-223,,,10.1007/BF00378101
82,"MICHAEL, 1987","MICHAEL, P J; CHASE, R L","THE INFLUENCE OF PRIMARY MAGMA COMPOSITION, H2O AND PRESSURE ON MID-OCEAN RIDGE BASALT DIFFERENTIATION",,1987,CONTRIB MINERAL PETROL,,96,245-263,,,10.1007/BF00375237
83,"VAN HEERDEN, 1988","VAN HEERDEN, L A; LE ROEX, A P",PETROGENESIS OF PICRITE AND ASSOCIATED BASALTS FROM THE SOUTHERN MID-ATLANTIC RIDGE,,1988,CONTRIB MINERAL PETROL,,100,47-60,,,10.1007/BF00399439
86,"HEKINIAN, 1973","HEKINIAN, R; AUMENTO, F",ROCKS FROM THE GIBBS FRACTURE ZONE AND THE MINIA SEAMOUNT NEAR 53 DEGREE N IN THE ATLANTIC OCEAN,,1973,MARINE GEOLOGY,,14,47-72,,,10.1016/0025-3227(73)90042-X
87,"HEKINIAN, 1976","HEKINIAN, R; THOMPSON, G","COMPARATIVE GEOCHEMISTRY OF VOLCANICS FROM RIFT VALLEYS, TRANSFORM FAULTS AND ASEISMIC RIDGES",,1976,CONTRIB MINERAL PETROL,,57,145-162,,,10.1007/BF00405222
88,"HEKINIAN, 1987","HEKINIAN, R; WALKER, D",DIVERSITY AND SPATIAL ZONATION OF VOLCANIC ROCKS FROM THE EAST PACIFIC RISE NEAR 21 DEGREE N,,1987,CONTRIB MINERAL PETROL,,96,265-280,,,10.1007/BF00371248
89,"HUMLER, 1988","HUMLER, E; WHITECHURCH, H","PETROLOGY OF BASALTS FROM THE CENTRAL INDIAN RIDGE (LAT. 25 DEGREE 23ÕS, LONG. 70 DEGREE 04ÕE): ESTIMATES OF FREQUENCIES AND FRACTIONAL VOLUMES OF MAGMA INJECTIONS IN A TWO-LAYERED RESERVOIR",,1988,EARTH PLANET SCI LETT,,88,169-181,,,10.1016/0012-821X(88)90055-6
90,"HUMPHRIS, 1983","HUMPHRIS, S E; THOMPSON, G",GEOCHEMISTRY OF RARE EARTH ELEMENTS IN BASALTS FROM THE WALVIS RIDGE: IMPLICATIONS FOR ITS ORIGIN AND EVOLUTION,,1983,EARTH PLANET SCI LETT,,66,223-242,,,10.1016/0012-821X(83)90138-3
91,"HUMPHRIS, 1985","HUMPHRIS, S E; THOMPSON, G; SCHILLING, J-G; KINGSLEY, R H",PETROLOGICAL AND GEOCHEMICAL VARIATIONS ALONG THE MID-ATLANTIC RIDGE BETWEEN 46 DEGREE S AND 32 DEGREE S: INFLUENCE OF THE TRISTAN DE CUNHA MANTLE PLUME,,1985,GEOCHIM COSMOCHIM ACTA,,49,1445-1464,,,10.1016/0016-7037(85)90294-7
93,"GRIBBLE, 1996","GRIBBLE, R F; STERN, R J; BLOOMER, S H; STÜBEN, D; O'HEARN, T; NEWMAN, S",MORB MANTLE AND SUBDUCTION COMPONENTS INTERACT TO GENERATE BASALTS IN THE SOUTHERN MARIANA TROUGH BACK-ARC BASIN,,1996,GEOCHIM COSMOCHIM ACTA,,60,2153-2166,,,10.1016/0016-7037(96)00078-6
94,"LE ROEX, 1987","LE ROEX, A P; DICK, H J B; LEVENT, G; REID, A M; ERLANK, A J",LOCAL AND REGIONAL HETEROGENEITY IN MORB FROM THE MID-ATLANTIC RIDGE BETWEEN 54.5 DEGREE S AND 51 DEGREE S: EVIDENCE FOR GEOCHEMICAL ENRICHMENT,,1987,GEOCHIM COSMOCHIM ACTA,,51,541-555,,,10.1016/0016-7037(87)90068-8
95,"JOCHUM, 1997","JOCHUM, K P; HOFMANN, A W",CONSTRAINTS ON EARTH EVOLUTION FROM ANTIMONY IN MANTLE-DERIVED ROCKS,,1997,CHEMICAL GEOLOGY,,139,39-49,,,10.1016/S0009-2541(97)00032-6
96,"JUTEAU, 1980","JUTEAU, T; EISSEN, J P; FRANCHETEAU, J; NEEDHAM, D; CHOUKROUNE, P; RANGIN, C; SEGURET, M; BALLARD, R D; FOX, P J; NORMARK, W R; CARRANZA, A; CORDOBA, D; GUERRERO, J",HOMOGENEOUS BASALTS FROM THE EAST PACIFIC RISE AT 21 DEGREE N: STEADY STATE MAGMA RESERVOIRS AT MODERATELY FAST SPREADING CENTERS,,1980,OCEANOL ACTA,,3,NULL,,,NULL
97,"NATLAND, 1989","NATLAND, J H",PARTIAL MELTING OF A LITHOLOGICALLY HETEROGENEOUS MANTLE: INFERENCES FROM CRYSTALLIZATION HISTORIES OF MAGNESIAN ABYSSAL THOLEIITES FROM THE SIQUEIROS FRACTURE ZONE,,1989,GEOL SOC LONDON SPEC PUB,,42,41-70,MAGMATISM IN THE OCEAN BASINS,"SAUNDERS-A-D, NORRY-M-J",10.1144/GSL.SP.1989.042.01.05
99,"NIU, 1996","NIU, Y; WAGGONER, D G; SINTON, J M; MAHONEY, J J","MANTLE SOURCE HETEROGENEITY AND MELTING PROCESSES BENEATH SEAFLOOR SPREADING CENTERS: THE EAST PACIFIC RISE, 18 DEGREE -19 DEGREE S",,1996,J GEOPHYS RES,,101,27711-27733,,,10.1029/96JB01923
102,"MICHAEL, 1994","MICHAEL, P J; FORSYTH, D W; BLACKMAN, D K; FOX, P J; HANAN, B B; HARDING, A J; MACDONALD, K C; NEUMANN, G A; ORCUTT, J A; TOLSTOY, M; WEILAND, C M",MANTLE CONTROL OF A DYNAMICALLY EVOLVING SPREADING CENTER: MID-ATLANTIC RIDGE 31-34 DEGREE S,,1994,EARTH PLANET SCI LETT,,121,451-468,,,10.1016/0012-821X(94)90083-3
103,"MUIR, 1964","MUIR, I D; TILLEY, C E; SCOON, J H",BASALTS FROM THE NORTHERN PART OF THE RIFT ZONE OF THE MID-ATLANTIC RIDGE,,1964,J PETROL,,5,409-434,,,10.1093/petrology/5.3.409
105,"PERFIT, 1983","PERFIT, M R; FORNARI, D J","GEOCHEMICAL STUDIES OF ABYSSAL LAVAS RECOVERED BY DSRV ALVIN FROM EASTERN GALAPAGOS RIFT, INCA TRANSFORM, AND ECUADOR RIFT  2. PHASE CHEMISTRY AND CRYSTALLZATION HISTORY",,1983,J GEOPHYS RES,,88,10530-10550,,,10.1029/JB088iB12p10530
106,"FORNARI, 1983","FORNARI, D J; PERFIT, M R; MALAHOFF, A; EMBLEY, R W","GEOCHEMICAL STUDIES OF ABYSSAL LAVAS RECOVERED BY DSRV ALVIN FROM EASTERN GALAPAGOS RIFT, INCA TRANSFORM, AND ECUADOR RIFT  1. MAJOR ELEMENT VARIATIONS IN NATURAL GLASSES AND SPATIAL DISTRIBUTION OF LAVAS",,1983,J GEOPHYS RES,,88,10519-10529,,,10.1029/JB088iB12p10519
107,"PERFIT, 1983","PERFIT, M R; FORNARI, D J; MALAHOFF, A; EMBLEY, R W","GEOCHEMICAL STUDIES OF ABYSSAL LAVAS RECOVERED BY DSRV ALVIN FROM EASTERN GALAPAGOS RIFT, INCA TRANSFORM, AND ECUADOR RIFT   3. TRACE ELEMENT ABUNDANCES AND PETROGENESIS",,1983,J GEOPHYS RES,,88,10551-10572,,,10.1029/JB088iB12p10551
108,"PRINZHOFER, 1989","PRINZHOFER, A; LEWIN, E; ALLEGRE, C J",STOCHASTIC MELTING OF THE MARBLE CAKE MANTLE: EVIDENCE FROM LOCAL STUDY OF THE EAST PACIFIC RISE AT 12 DEGREE 50ÕN,,1989,EARTH PLANET SCI LETT,,92,189-206,,,10.1016/0012-821X(89)90046-0
109,"PUCHELT, 1983","PUCHELT, H; EMMERMANN, R",PETROGENETIC IMPLICATIONS OF THOLEIITIC BASALT GLASSES FROM THE EAST PACIFIC RISE AND THE GALAPAGOS SPREADING CENTER,,1983,CHEMICAL GEOLOGY,,38,39-56,,,10.1016/0009-2541(83)90044-X
