citation_num,citation_code,authors,title,publisher,publication_year,journal,issue,volume,pages,book_title,book_editor,doi
1434,"ROTELLA, 2009","ROTELLA, M; SINTON, J M; MAHONEY, J J; CHAZEY III, W",GEOCHEMICAL EVIDENCE FOR LOW MAGMA SUPPLY AND INACTIVE PROPAGATION AT THE GALAPAGOS 93.25 DEG W OVERLAPPING SPREADING CENTER,,2009,GEOCHEM GEOPHYS GEOSYST,,10,NULL,,,10.1029/2009gc002445
1436,"SHAW, 2010","SHAW, A M; BEHN, M; HUMPHRIS, S E; SOHN, R A; GREGG, P M",DEEP POOLING OF LOW DEGREE MELTS AND VOLATILE FLUXES AT THE 85&#730;E SEGMENT OF THE GAKKEL RIDGE: EVIDENCE FROM OLIVINE-HOSTED MELT INCLUSIONS AND GLASSES,,2010,EARTH PLANET SCI LETT,,289,311-322,,,10.1016/j.epsl.2009.11.018
1437,"COOPER, 2009","COOPER, K M; EILER, J M; SIMS, K W W; LANGMUIR, C H",DISTRIBUTION OF RECYCLED CRUST WITHIN THE UPPER MANTLE: INSIGHTS FROM THE OXYGEN ISOTOPE COMPOSITION OF MORB FROM THE AUTRALIAN-ANTARCTIC DISCORDANCE,,2009,GEOCHEM GEOPHYS GEOSYST,12,10,26-Jan,,,10.1029/2009gc002728
1438,"FRANCE, 2009","FRANCE, L; ILDEFONSE, B; KOEPKE, J",INTERACTIONS BETWEEN MAGMA AND HYDROTHERMAL SYSTEM IN OMAN OPHIOLITE AND IN IODP HOLE 1256D: FOSSILIZATION OF A DYNAMIC MELT LENS AT FAST SPREADING RIDGES,,2009,GEOCHEM GEOPHYS GEOSYST,10,10,NULL,,,10.1029/2009gc002652
1439,"KEMPTON, 2002","KEMPTON, P D; PEARCE, J A; BARRY, T L; FITTON, J G; LANGMUIR, C H; CHRISTIE, D M",Sr-Nd-Pb-Hf ISOTOPE RESULTS FROM ODP LEG 187: EVIDENCE FOR MANTLE DYNAMICS OF THE AUSTRALIAN-ANTARCTIC DISCORDANCE AND ORIGIN OF THE INDIAN MORB SOURCE,,2002,GEOCHEM GEOPHYS GEOSYST,12,3,NULL,,,10.1029/2002gc000320
1441,"MICHIBAYASHI, 2009","MICHIBAYASHI, K; OHARA, Y; STERN, R J; FRYER, P; KIMURA, J-I; TASAKA, M; HARIGANE, Y; ISHII, T","PERIDOTITES FROM A DUCTILE SHEAR ZONE WITHIN BACK-ARC LITHOSPHERIC MANTLE, SOUTHERN MARIANA TRENCH: RESULTS OF A SHINKAI 6500 DIVE",,2009,GEOCHEM GEOPHYS GEOSYST,5,10,NULL,,,10.1029/2008gc002197
1442,"SCHWARTZ, 2009","SCHWARTZ, J; JOHN, B E; CHEADLE, M; REINERS, P W; BAINES, A G",COOLING HISTORY OF ATLANTIS BANK OCEANIC CORE COMPLEX: EVIDENCE FOR HYDROTHERMAL ACTIVITY 2.6 MA OFF AXIS,,2009,GEOCHEM GEOPHYS GEOSYST,8,10,NULL,,,10.1029/2009gc002466
1443,"GRIMES, 2007","GRIMES, C B; JOHN, B E; KELEMEN, P; MAZDAB, F; WOODEN, J; CHEADLE, M; HANGHOJ, K; SCHWARTZ, J",TRACE ELEMENT CHEMISTRY OF ZIRCONS FROM OCEANIC CRUST: A METHOD FOR DISTINGUISHING DETRITAL ZIRCON PROVENANCE,,2007,GEOLOGY,,35,643-646,,,10.1130/G23603A.1
1444,"DICK, 2010","DICK, H J B; LISSENBERG, C J; WARREN, J E","MANTLE MELTING, MELT TRANSPORT, AND DELIVERY BENEATH A SLOW-SPREADING RIDGE: THE PALEO-MAR FROM 23DEG15 N TO 23DEG45 N",,2010,J PETROL,,51,425-467,,,10.1093/petrology/egp088
1445,"TOLLSTRUP, 2010","TOLLSTRUP, D; GILL, J B; KENT, A J R; PRINKEY, D; WILLIAMS, R; TAMURA, Y; ISHIZUKA, O","ACROSS-ARC GEOCHEMICAL TRENDS IN THE IZU-BONIN ARC: CONTRIBUTIONS FROM THE SUBDUCTING SLAB, REVISITED",,2010,GEOCHEM GEOPHYS GEOSYST,1,11,NULL,,,10.1029/2009gc002847
1446,"CIPRIANI, 2009","CIPRIANI, A; BONATTI, E; SEYLER, M; BRUECKNER, H K; BRUNELLI, D; DALLAI, L; HEMMING, S R; LIGI, M; OTTOLINI, L; TURRIN, B D",A 19 TO 17 MA AMAGMATIC EXTENSION EVENT AT THE MID-ATLANTIC RIDGE: ULTRAMAFIC MYLONITES FROM THE VEMA LITHOSPHERIC SECTION,,2009,GEOCHEM GEOPHYS GEOSYST,10,10,NULL,,,10.1029/2009gc002534
1450,"SCHWARTZ, 2005","SCHWARTZ, J; JOHN, B E; CHEADLE, M; MIRANDA, E A; GRIMES, C B; WOODEN, J; DICK, H J B",DATING THE GROWTH OF OCEANIC CRUST AT A SLOW-SPREADING RIDGE,,2005,SCIENCE,,310,654-657,,,10.1126/science.1116349
1451,"HOCHSTAEDTER, 2001","HOCHSTAEDTER, A G; GILL, J B; PETERS, R; BROUGHTON, P; HOLDEN, P; TAYLOR, B",ACROSS-ARC GEOCHEMICAL TRENDS IN THE IZU-BONIN ARC: CONTRIBUTIONS FROM THE SUBDUCTING SLAB,,2001,GEOCHEM GEOPHYS GEOSYST,,2,NULL,,,10.1029/2000gc000105
1452,"HOCHSTAEDTER, 2000","HOCHSTAEDTER, A G; GILL, J B; TAYLOR, B; ISHIZUKA, O; YUASA, M; MORITA, S R",ACROSS-ARC GEOCHEMICAL TRENDS IN THE IZU-BONIN ARD: CONSTRAINTS ON SOURCE COMPOSITION AND MANTLE MELTING,,2000,J GEOPHYS RES,B1,105,495-512,,,10.1029/1999jb900125
1453,"SCHWARTZ, 2010","SCHWARTZ, J; JOHN, B E; CHEADLE, M; WOODEN, J; MAZDAB, F; SWAPP, S; GRIMES, C B","DISSOLUTION-REPRECIPITATION OF IGNEOUS ZIRCON IN MID-OCEAN RIDGE GABBRO, ATLANTIS BANK, SOUTHWEST INDIAN RIDGE",,2010,CHEMICAL GEOLOGY,2-Jan,274,68-81,,,10.1016/j.chemgeo.2010.03.017
1455,"GOSS, 2010","GOSS, A R; PERFIT, M R; RIDLEY, W I; RUBIN, K H; KAMENOV, G D; SOULE, S A; FUNDIS, A; FORNARI, D J","GEOCHEMISTRY OF LAVAS FROM THE 2005-2006 ERUPTION AT THE EAST PACIFIC RISE, 9DEG46MIN N-9DEG56MIN N: IMPLICATIONS FOR RIDGE CREST PLUMBING AND DECADAL CHANGES IN MAGMA CHAMBER COMPOSITIONS",,2010,GEOCHEM GEOPHYS GEOSYST,5,11,NULL,,,10.1029/2009gc002977
1457,"GURENKO, 2010","GURENKO, A A; HOERNLE, K; SOBOLEV, A V; HAUFF, F; SCHMINCKE, H U",SOURCE COMPONENTS OF THE GRAN CANARIA (CANARY ISLANDS) SHIELD STAGE MAGMAS: EVIDENCE FROM OLIVINE COMPOSITION AND Sr-Nd-Pb ISOTOPES,,2010,CONTRIB MINERAL PETROL,,159,689-702,,,10.1007/s00410-009-0448-8
1458,"INGLE, 2010","INGLE, S; ITO, G; MAHONEY, J J; CHAZEY III, W; SINTON, J M; ROTELLA, M; CHRISTIE, D M",MECHANISMS OF GEOCHEMICAL AND GEOPHYSICAL VARIATIONS ALONG THE WESTERN GALAPAGOS SPREADING CENTER,,2010,GEOCHEM GEOPHYS GEOSYST,4,11,NULL,,,10.1029/2009gc002694
1459,"HAMELIN, 2010","HAMELIN, C; HANAN, B B; BARRAT, J A; ONDREAS, H",Sr-Nd-Hf ISOTOPES ALONG THE PACIFIC ANTARCTIC RIDGE FROM 41 TO 53 DEG S,,2010,GEOPHYS RES LETT,,37,NULL,,,10.1029/2010gl042979
1460,"PEARCE, 2005","PEARCE, J A; STERN, R J; BLOOMER, S H; FRYER, P",GEOCHEMICAL MAPPING OF THE MARIANA ARC-BASIN SYSTEM: IMPLICATIONS FOR THE NATURE AND DISTRIBUTION OF SUBDUCTION COMPONENTS,,2005,GEOCHEM GEOPHYS GEOSYST,7,6,NULL,,,10.1029/2004gc000895
1463,"ISHIZUKA, 2003","ISHIZUKA, O; TAYLOR, R N; MILTON, J A; NESBITT, R W",FLUID-MANTLE INTERACTION IN AN INTRA-OCEANIC ARC: CONSTRAINTS FROM HIGH-PRECISION PB ISOTOPES,,2003,EARTH PLANET SCI LETT,,211,221-236,,,10.1016/S0012-821X(03)00201-2
1464,"JOHN, 2004","JOHN, B E; FOSTER, D A; MURPHY, J M; CHEADLE, M; BAINES, A G; FANNING, C M; COPELAND, P","DETERMINING THE COOLING HISTORY OF IN SITU LOWER OCEANIC CRUST - ATLANTIS BANK, SW INDIAN RIDGE",,2004,EARTH PLANET SCI LETT,,222,145-160,,,10.1016/j.epsl.2004.02.014
1466,"NEO, 2009","NEO, N; YAMAZAKI, S; MIYASHITA, S","DATA REPORT: BULK ROCK COMPOSITIONS OF SAMPLES FROM THE IODP EXPEDITION 309/312 SAMPLE POOL, ODP HOLE 1256D",,2009,PROC IODP,,309/312,NULL,,,10.2204/iodp.proc.309312.204.2009
1467,"ISHIZUKA, 1999","ISHIZUKA, O; YUASA, M",PETROGRAPHY AND ISOTOPIC AGE OF VOLCANIC ROCKS DREDGED FROM THE BACK-ARC RIDGES AND KNOLLS AT THE NORTH END OF THE IZU-OGASAWARA ARC,,1999,"GEOL SURV JAPAN, CRUISE REPORT",,24,171-190,,,NULL
1468,"BARKER, 2010","BARKER, A K; COOGAN, L A; GILLIS, K M",INSIGHTS INTO THE BEHAVIOUR OF SULPHUR IN MID-OCEAN RIDGE AXIAL HYDROTHERMAL SYSTEMS FROM THE COMPOSITION OF THE SHEETED DYKE COMPLEX AT PITO DEEP,,2010,CHEMICAL GEOLOGY,,275,105-115,,,10.1016/j.chemgeo.2010.05.003
1469,"BARKER, 2008","BARKER, A K; COOGAN, L A; GILLIS, K M; WEIS, D",STRONTIUM ISOTOPE CONSTRAINTS ON FLUID FLOW IN THE SHEETED DIKE COMPLEX OF FAST SPREADING CRUST: PERVASIVE FLUID FLOW AT PITO DEEP,,2008,GEOCHEM GEOPHYS GEOSYST,6,9,NULL,,,10.1029/2007gc001901
1471,"KOHUT, 2006","KOHUT, E J; STERN, R J; KENT, A J R; BLOOMER, S H; LEYBOURNE, M I",EVIDENCE FOR ADIABATIC DECOMPRESSION MELTING IN THE SOUTHERN MARIANA ARC FROM HIGH-MG LAVAS AND MELT INCLUSIONS,,2006,CONTRIB MINERAL PETROL,,152,201-221,,,10.1007/s00410-006-0102-7
1472,"STRAUB, 2003","STRAUB, S",THE EVOLUTION OF THE IZU BONIN-MARIANA VOLCANIC ARCS (NW PACIFIC) IN TERMS OF MAJOR ELEMENT CHEMISTRY,,2003,GEOCHEM GEOPHYS GEOSYST,2,4,NULL,,,10.1029/2002gc000357
1473,"AREVALO JR, 2008","AREVALO JR, R; MCDONOUGH, W F",TUNGSTEN GEOCHEMISTRY AND IMPLICATIONS FOR UNDERSTANDING THE EARTHS INTERIOR,,2008,EARTH PLANET SCI LETT,,272,656-665,,,10.1016/j.epsl.2008.05.031
1474,"PAULICK, 2010","PAULICK, H; MUENKER, C; SCHUTH, S",THE INFLUENCE OF SMALL-SCALE MANTLE HETEROGENEITIES ON MID-OCEN RIDGE VOLCANISM: EVIDENCE FROM THE SOUTHERN MID-ATLANTIC RIDGE (7DEG30MIN S TO 11DEG30MIN S) AND ASCENSION ISLAND,,2010,EARTH PLANET SCI LETT,4-Mar,296,299-310,,,10.1016/j.epsl.2010.05.009
1475,"MOELLER, 2002","MOELLER, H",MAGMA GENESIS AND MANTLE SOURCS AT THE MID-ATLANTIC RIDGE EAST OF ASCENSION ISLAND,,2002,"THESIS OR DISSERTATION, DOCTORAL, CHRISTIAN-ALBRECHTS UNIVERSITAET; MONOGRAPHIC",,,NULL,,,NULL
1476,"AREVALO JR, 2009","AREVALO JR, R; MCDONOUGH, W F; LUONG, M","THE K/U RATIO OF THE SILICATE EARTH: INSIGHTS INTO MANTLE COMPOSITION, STRUCTURE AND THERMAL EVOLUTION",,2009,EARTH PLANET SCI LETT,,278,361-369,,,10.1016/j.epsl.2008.12.023
1477,"BARNES, 2010","BARNES, J D; STRAUB, S",CHORINE STABLE ISOTOPE VARIATIONS IN IZU BONIN TEPHRA: IMPLICATIONS FOR SERPENTINITE SUBDUCTION,,2010,CHEMICAL GEOLOGY,,272,62-74,,,10.1016/j.chemgeo.2010.02.005
1478,"STRAUB, 2003","STRAUB, S; LAYNE, G","THE SYSTEMATICS OF CHLORINE, FLUORINE, AND WATER IN IZU ARC FRONT VOLCANIC ROCKS: IMPLICATIONS FOR VOLATILE RECYCLING IN SUBDUCTION ZONES",,2003,GEOCHIM COSMOCHIM ACTA,21,67,4179-4203,,,10.1016/S0016-7037(03)00307-7
1479,"GURENKO, 1998","GURENKO, A A; HANSTEEN, T H; SCHMINCKE, H U","MELT, CRYSTAL, AND FLUID INCLUSIONS IN OLIVINE AND CLINOPYROXENE PHENOCRYSTS FROM THE SUBMARINE SHIELD STAGE HYALOCLASTITES OF GRAN CANARIA, SITES 953 AND 956",,1998,"PROC ODP, SCI RESULTS",,157,375-401,,,10.2973/odp.proc.sr.157.111.1998
1480,"HANSTEEN, 1998","HANSTEEN, T H; GURENKO, A A","SULFUR, CHLORINE, AND FLUORINE IN GLASS INCLUSIONS IN OLIVINE AND CLINOPYROXENE FROM BASALTIC HYALOCLASTITES REPRESENTING THE GRAN CANARIA SHIELD STAGE AT SITES 953 AND 956",,1998,"PROC ODP, SCI RESULTS",,157,403-410,,,10.2973/odp.proc.sr.157.139.1998
1483,"BLOOMER, 1989","BLOOMER, S H; STERN, R J; FISK, E; GESCHWIND, C H",SHOSHONITIC VOLCANISM IN THE NORTHERN MARIANA ARC 1. MINERALOGIC AND MAJOR AND TRACE ELEMENT CHARACTERISTICS,,1989,J GEOPHYS RES,B4,94,4469-4496,,,10.1029/JB094iB04p04469
1484,"TRUA, 2010","TRUA, T; CLOCCHIATTI, R; SCHIANO, P; OTTOLINI, L; MARANI, M",THE HETEROGENEOUS NATURE OF THE SOUTHERN TYRRHENIAN MANTE: EVIDENCE FROM OLIVINE-HOSTED MELT INCLUSIONS FROM BACK-ARC MAGMAS OF THE MARSILI SEAMOUNT,,2010,LITHOS,,118,16-Jan,,,10.1016/j.lithos.2010.03.008
1485,"VAN DEN BOGAARD, 1998","VAN DEN BOGAARD, P","40AR/39AR AGES OF PLIOCENE-PLEISTOCENE FALLOUT TEPHRA LAYERS AND VOLCANICLASTIC DEPOSITS IN THE SEDIMENTARY APRONS OF GRAN CANARIA AND TENERIFE (SITES 953, 954, AND 956)",,1998,"PROC ODP, SCI RESULTS",,157,329-341,,,10.2973/odp.proc.sr.157.141.1998
1486,"COOPER, 2010","COOPER, L B; PLANK, T; ARCULUS, R J; HAURI, E H; HALL, P S; PARMAN, S W",HIGH-CA BONINITES FROM THE ACTIVE TONGA ARC,,2010,J GEOPHYS RES,B10206,115,NULL,,,10.1029/2009jb006367
1487,"STERN, 1984","STERN, R J; BIBEE, D",ESMERALDA BANK: GEOCHEMISTRY OF AN ACTIVE SUBMARINE VOLCANO IN THE MARIANA ISLAND ARC,,1984,CONTRIB MINERAL PETROL,,86,159-169,,,10.1007/bf00381843
1488,"STERN, 1989","STERN, R J; BLOOMER, S H; LIN, P-N; SMOOT, N C",SUBMARINE ARC VOLCANISM IN THE SOUTHERN MARIANA ARC AS AN OPHIOLITE ANALOGUE,,1989,TECTONOPHYSICS,,168,151-170,,,10.1016/0040-1951(89)90374-0
1489,"SUN, 2001","SUN, C-H; STERN, R J",GENESIS OF MARIANA SHOSHONITES: CONTRIBUTION OF THE SUBDUCTION COMPONENT,,2001,J GEOPHYS RES,B1,106,589-608,,,10.1029/2000jb900342
1490,"LAYNE, 2009","LAYNE, G; KENT, A J R; BACH, W",DELTA 37CL SYSTEMATICS OF A BACKARC SPREADING SYSTEM: THE LAU BASIN,,2009,GEOLOGY,5,37,427-430,,,10.1130/G25520A.1
1491,"PANSERI, 2010","PANSERI, M; TARTAROTTI, P; CRISPINI, L","FELSIC SEGREGATION DURING CRYSTALLIZATION OF A SUBAQUEOUS LAVA FIELD (ODP-IODP SITE 1256, EAST PACIFIC RISE): INFERENCES FROM STRUCTURE AND PETROGRAPHY",,2010,J VOLCANOL GEOTHERM RES,,196,31-44,,,10.1016/j.jvolgeores.2010.07.005
1492,"STRAUB, 2010","STRAUB, S; GOLDSTEIN, S L; CLASS, C; SCHMIDT, A; GOMEZ-TUENA, A",SLAB AND MANTLE CONTROLS ON THE Sr-Nd-Pb-Hf ISOTOPE EVOLUTION OF THE POST 42 MA IZU-BONIN VOLCANIC ARC,,2010,J PETROL,5,51,993-1026,,,10.1093/petrology/egq009
1493,"MACPHERSON, 2010","MACPHERSON, C G; HILTON, D R; HAMMERSCHMIDT, K",NO SLAB-DERIVED CO2 IN MARIANA TROUGH BACK-ARC BASALTS: IMPLICATIONS FOR CARBON SUBDUCTION AND FOR TEMPORARY STORAGE OF CO2 BENEATH SLOW SPREADING RIDGES,,2010,GEOCHEM GEOPHYS GEOSYST,11,11,NULL,,,10.1029/2010gc003293
1495,"COLIN, 2011","COLIN, A; BURNARD, P; GRAHAM, D W; MARROCCHI, Y",PLUME-RIDGE INTERACTION ALONG THE GALAPAGOS SPREADING CENTER: DISCERNING BETWEEN GAS LOSS AND SOURCE EFFECTS USING NEON ISOTOPIC COMPOSITIONS AND 4HE-40AR-CO2 RELATIVE ABUNDANCES,,2011,GEOCHIM COSMOCHIM ACTA,4,75,1145-1160,,,10.1016/j.gca.2010.11.018
1496,"GAO, 2011","GAO, Y; SNOW, J E; CASEY, J F; JUNBAO, Y",COOLING-INDUCED FRACTIONATION OF MANTLE LI ISOTOPES FROM THE ULTRASLOW-SPREADING GAKKEL RIDGE,,2011,EARTH PLANET SCI LETT,2-Jan,301,231-240,,,10.1016/j.epsl.2010.11.003
1498,"ALVARADO, 2006","ALVARADO, G E; CARR, M J; TURRIN, B D; SWISHER III, C C; SCHMINCKE, H U; HUDNUT, K W","RECENT VOLCANIC HISTORY OF IRAZU VOLCANO, COSTA RICA: ALTERNATION AND MIXING OF TWO MAGMA BATCHES, AND PERVASIVE MIXING",,2006,GEOL SOC AMER BULL,,412,259-276,VOLCANIC HAZARDS IN CENTRAL AMERICA,"ROSE, W.I., BLUTH, G.J.S., CARR, M.J., EWERT, J., PATINO, L.C., AND VALLANCE, J.",10.1130/2006.2412(14)
1499,"WANLESS, 2010","WANLESS, V D; PERFIT, M R; RIDLEY, W I; KLEIN, E M",DACITE PETROGENESIS ON MID-OCEAN RIDGES: EVIDENCE FOR OCEANIC CRUSTAL MELTING AND ASSIMILATION,,2010,J PETROL,12,51,2377-2410,,,10.1093/petrology/egq056
1501,"PANDEY, 2009","PANDEY, S K; SHRIVASTAVA, J P; ROONWAL, G S",PETROGRAPHY AND MINERAL CHEMISTRY OF NEOVOLCANICS OCCURRING BETWEEN PACIFIC AND NAZCA PLATE BOUNDARIES,,2009,J GEOL SOC INDIA,,74,559-572,,,10.1007/s12594-010-0029-5
1502,"RODEHORST, 1998","RODEHORST, U; SCHMINCKE, H U; SUMITA, M",GEOCHEMISTRY AND PETROLOGY OF PLEISTOCENE ASH LAYERS ERUPTED AT LAS CANADAS EDIFICE (TENERIFE),NULL,1998,"PROC ODP, SCI RESULTS",NULL,157,315-328,NULL,NULL,10.2973/odp.proc.sr.157.117.1998
1504,"SCHMINCKE, 1998","SCHMINCKE, H U; SEGSCHNEIDER, B",SHALLOW SUBMARINE TO EMERGENT BASALTIC SHIELD VOLCANISM OF GRAN CANARIA: EVIDENCE FROM DRILLING INTO THE VOLCANIC APRON,,1998,"PROC ODP, SCI RESULTS",,157,141-181,,,10.2973/odp.proc.sr.157.110.1998
1505,"JENNER, 2010","JENNER, F E; ONEILL, H ST C; ARCULUS, R J; MAVROGENES, J A","THE MAGNETITE CRISIS IN THE EVOLUTION OF ARC-RELATED MAGMAS AND THE INITIAL CONCENTRATION OF AU, AG AND CU",,2010,J PETROL,12,51,2445-2464,,,10.1093/petrology/egq063
1506,"SUMITA, 1998","SUMITA, M; SCHMINCKE, H U","TEPHRA EVENT STRATIGRAPHY AND EMPLACEMENT OF VOLCANICLASTIC SEDIMENTS, MOGAN AND FATAGA STRATIGRAPHIC INTERVALS, PART I: MINERAL AND CHEMICAL STRATIGRAPHY OF VOLCANICLASTIC UNITS AND CORRELATION TO THE SUBAERIAL RECORD",NULL,1998,"PROC ODP, SCI RESULTS",NULL,157,219-266,NULL,NULL,10.2973/odp.proc.sr.157.114.1998
1507,"SCHMINCKE, 1998","SCHMINCKE, H U; SUMITA, M","TEPHRA EVENT STRATIGRAPHY AND EMPLACEMENT OF VOLCANICLASTIC SEDIMENTS, MOGAN AND FATAGA STRATIGRAPHIC INTERVALS, PART II: ORIGIN AND EMPLACEMENT OF VOLCANICLASTIC LAYERS",NULL,1998,"PROC ODP, SCI RESULTS",NULL,157,267-291,NULL,NULL,10.2973/odp.proc.sr.157.113.1998
